Aba, Abia 	 5.1167 , 7.3667 	 5.1166666666667 , 7.3666666666667
Salado, Texas 	 30.9553 , -97.5347 	 30.9553 , -97.5347
Salama, Jaffa 	 32.0491 , 34.805 	 32.04915 , 34.80500833
Salamanca, Chile 	 -31.7825 , -70.9607 	 -31.766666666667 , -70.966666666667
Salamanca, Guanajuato 	 20.5703 , -101.1972 	 20.573931 , -101.195717
Salavat, Russia 	 53.3667 , 55.9333 	 53.366666666667 , 55.933333333333
Sal, Cape Verde (municipality) 	 16.73 , -22.93 	 16.75416667 , -22.94583333
Sale, Greater Manchester 	 53.4246 , -2.322 	 53.424 , -2.322
Salem, Alabama 	 32.5967 , -85.2386 	 32.596580555556 , -85.238461111111
Salem, Connecticut 	 41.4831 , -72.2664 	 41.483055555556 , -72.266388888889
Salem, Fulton County, Arkansas 	 36.3706 , -91.8239 	 36.370555555556 , -91.823888888889
Salem, Georgia 	 32.7486 , -84.1989 	 32.7486 , -84.1989
Salem, Illinois 	 38.6282 , -88.9482 	 38.6282 , -88.9482
Salem, Indiana 	 38.6042 , -86.0989 	 38.604166666667 , -86.098888888889
Salem, Iowa 	 40.8531 , 91.6208 	 40.853055555556 , -91.620833333333
Salem, Missouri 	 37.6414 , 91.5389 	 37.6455993 , -91.5359808
Salem, New Hampshire 	 42.7883 , -71.2008 	 42.78842 , -71.20089
Salem, New Jersey 	 39.5682 , -75.4726 	 39.5682 , -75.4725
Salem, New York 	 43.15 , -73.3167 	 43.1723 , -73.32761
Salem, Ohio 	 40.9008 , -80.8528 	 40.9008 , -80.8528
Salem, Oregon 	 44.9308 , -123.0289 	 44.930833333333 , -123.02888888889
Salem, South Carolina 	 34.8886 , -82.9747 	 34.88982 , -82.97654
Salem, Utah 	 40.0506 , -111.6725 	 40.050555555556 , -111.6725
Salem, West Virginia 	 39.2833 , -80.5628 	 39.2833 , -80.5628
Sale, Victoria 	 -38.1 , 147.067 	 -38.1 , 147.067
Salim, Nablus 	 32.2167 , 35.3333 	 32.216666666667 , 35.333333333333
Salina, New York 	 43.1017 , -76.1703 	 43.101666666667 , -76.170277777778
Salina, Oklahoma 	 36.2925 , -95.1525 	 36.2925 , -95.1525
Salinas, California 	 36.6778 , -121.6556 	 36.677777777778 , -121.65555555556
Salina, Sicily 	 38.5653 , 14.8333 	 38.564722222222 , 14.838888888889
Salinas, Minas Gerais 	 -16.17 , -42.29 	 -16.11853 , -42.17403
Salinas, Puerto Rico 	 18.1144 , -66.1681 	 18.01746 , -66.25378
Salina, Utah 	 38.9492 , -111.8614 	 38.949166666667 , -111.86138888889
Salisbury 	 51.0741 , -1.7937 	 51.074 , -1.7936
Salisbury, Connecticut 	 41.985 , -73.4222 	 41.985 , -73.422222222222
Salisbury, Herkimer County, New York 	 43.1342 , -74.8242 	 43.134166666667 , -74.824166666667
Salisbury, Maryland 	 38.3658 , -75.5933 	 38.361111111111 , -75.6
Salisbury, Massachusetts 	 42.8417 , -70.8611 	 42.841666666667 , -70.861111111111
Salisbury, Missouri 	 39.4222 , 92.8008 	 39.4222 , -92.8008
Salisbury, Nassau County, New York 	 40.7453 , -73.5594 	 40.745277777778 , -73.559444444444
Salisbury, New Brunswick 	 46.0261 , -65.0433 	 46.0333 , -65.05
Salisbury, New Hampshire 	 43.3786 , -71.7175 	 43.38008 , -71.71702
Salisbury, North Carolina 	 35.6683 , -80.4786 	 35.668333333333 , -80.478611111111
Salisbury, Queensland 	 -27.551 , 153.034 	 -27.551 , 153.034
Salisbury, South Australia 	 -34.7667 , 138.6333 	 -34.7639 , 138.642
Salisbury, Vermont 	 43.9255 , -73.1115 	 43.9231064 , -73.1113631
Salla 	 66.8333 , 28.6667 	 66.833333333333 , 28.666666666667
Salma, Syria 	 35.69 , 36.1367 	 35.69 , 36.13666667
Salo, Finland 	 60.3831 , 23.1331 	 60.383055555556 , 23.133055555556
Salta, Cumbria 	 54.796 , -3.426 	 54.807 , -3.421
Saltillo 	 25.416 , -101 	 25.433333333333 , -101.0
Salto, Uruguay 	 -31.3806 , -57.96 	 -31.388333333333 , -57.960555555556
Salwa, Kuwait 	 29.3 , 48.0833 	 29.3 , 48.08333333
Samak, Utah 	 40.6258 , -111.2014 	 40.625833333333 , -111.20138888889
Samana, Punjab 	 30.16 , 76.19 	 30.16 , 76.19
Samangan 	 36.2067 , 67.9866 	 36.25341 , 68.03936
Samar 	 12.05 , 125.1167 	 12.05 , 125.11666666667
Same, East Timor 	 -9.0033 , 125.6469 	 -9.0 , 125.65
San Agustin, Romblon 	 12.5689 , 122.1314 	 12.56889 , 122.13139
San Andres, Catanduanes 	 13.6667 , 124.1167 	 13.6 , 124.1
San Andres, Manila 	 14.5739 , 121.0039 	 14.573888888889 , 121.00388888889
San Andres, Romblon 	 12.5228 , 122.0103 	 12.533333 , 122.025
San Antonio, Florida 	 28.3367 , -82.275 	 28.336666666667 , -82.275
San Antonio, Northern Samar 	 12.4347 , 124.2667 	 12.416666666667 , 124.26666666667
San Antonio, Nueva Ecija 	 15.3072 , 120.8572 	 15.383333333333 , 120.8
San Antonio, Oakland, California 	 37.8009 , -122.2408 	 37.8009 , -122.241
San Antonio, Quezon 	 13.9 , 121.3 	 13.9 , 121.3
San Antonio, Zambales 	 14.9486 , 120.0864 	 14.95 , 120.08333333333
San Benito, Texas 	 26.1367 , -97.6358 	 26.1367 , -97.6358
San Carlos, California 	 37.4992 , -122.2633 	 37.499166666667 , -122.26333333333
San Carlos, Negros Occidental 	 10.4819 , 123.4092 	 10.416666666667 , 123.38333333333
San Carlos, Pangasinan 	 15.9281 , 120.3489 	 15.928056 , 120.348889
San Carlos, San Diego 	 32.8085 , -117.033 	 32.8085 , -117.033
Sandala, Israel 	 32.5167 , 35.3167 	 32.51666667 , 35.31666667
Sande, Møre og Romsdal 	 62.219 , 5.463 	 62.258333333333 , 5.4313888888889
Sande, Vestfold 	 59.5936 , 10.2078 	 59.59362 , 10.20757
San Diego 	 32.715 , -117.1625 	 32.715 , -117.1625
San Diego, Carabobo 	 10.254 , -68.0109 	 10.254027777778 , -68.010855555556
Sandur, Faroe Islands 	 61.8424 , -6.8077 	 61.833611111111 , -6.8169444444444
Sandur, Iraq 	 36.9167 , 43.0667 	 36.91666667 , 43.06666667
San Enrique, Iloilo 	 11.0697 , 122.6567 	 11.066666666667 , 122.65
San Esteban, Camarines Sur 	 13.4014 , 123.3764 	 13.401388888889 , 123.37638888889
San Esteban, Ilocos Sur 	 17.3257 , 120.439 	 17.333333333333 , 120.45
San Felipe, Texas 	 29.7944 , -96.1047 	 29.7944 , -96.1047
San Felipe, Zambales 	 15.062 , 120.07 	 15.061944444444 , 120.07
San Fernando, Bukidnon 	 7.8664 , 125.2336 	 7.9166666666667 , 125.33333333333
San Fernando, California 	 34.2873 , -118.4388 	 34.287222222222 , -118.43888888889
San Fernando, Camarines Sur 	 13.5664 , 123.1497 	 13.566666666667 , 123.15
San Fernando, La Union 	 16.6167 , 120.3167 	 16.616666666667 , 120.31666666667
San Fernando, Pampanga 	 15.0594 , 120.6567 	 15.033333333333 , 120.68333333333
San Fernando, Romblon 	 12.3025 , 122.6008 	 12.316666666667 , 122.6
San Fernando, Trinidad and Tobago 	 10.2769 , -61.4504 	 10.283333333333 , -61.466666666667
San Francisco, Agusan del Sur 	 8.3963 , 125.9486 	 8.505 , 125.9771
San Francisco, Cebu 	 10.646 , 124.382 	 10.65 , 124.35
San Francisco, Córdoba 	 -31.428 , -62.0827 	 -31.435555555556 , -62.071388888889
San Gabriel, California 	 34.0942 , -118.0984 	 34.15 , -118.18194444444
San Gabriel, La Union 	 16.6756 , 120.4031 	 16.666666666667 , 120.4
San Gabriel, Texas 	 30.6944 , -97.1961 	 30.6944 , -97.1961
San Geronimo, California 	 38.0133 , -122.6639 	 38.0133 , -122.664
San Gregorio, California 	 37.3272 , -122.3867 	 37.327222222222 , -122.38666666667
San Ignacio, Belize 	 17.153 , -89.0806 	 17.1588 , -89.0696
San Ignacio, Chalatenango 	 14.3333 , -89.1833 	 14.333333333333 , -89.183333333333
San Ildefonso, Bulacan 	 15.0789 , 120.9419 	 15.078889 , 120.941944
San Ildefonso, Ilocos Sur 	 17.622 , 120.397 	 17.616666666667 , 120.4
San Isidro, Cabañas 	 13.8333 , -88.7167 	 13.833333333333 , -88.716666666667
San Isidro, Davao Oriental 	 6.8783 , 126.0606 	 6.8166666666667 , 126.06666666667
San Isidro, Northern Samar 	 12.388 , 124.331 	 12.388 , 124.331
San Isidro, Nueva Ecija 	 15.3103 , 120.9069 	 15.266666666667 , 120.9
San Jacinto, California 	 33.7872 , -116.9667 	 33.787222222222 , -116.96666666667
San Jacinto, Pangasinan 	 16.0725 , 120.4411 	 16.0725 , 120.441111
San Joaquin, California 	 36.6067 , -120.1892 	 36.606666666667 , -120.18916666667
San Joaquin, Iloilo 	 10.5889 , 122.1389 	 10.6 , 122.08333333333
San Jorge, Samar 	 11.9808 , 124.8239 	 11.983333333333 , 124.81666666667
San Jose, Batangas 	 13.8833 , 121.1053 	 13.877222222222 , 121.105
San Jose, Camarines Sur 	 13.6992 , 123.5183 	 13.7 , 123.51666666667
San Jose, Dinagat Islands 	 10.0083 , 125.5889 	 10.008333333333 , 125.58888888889
San Jose, Negros Oriental 	 9.412 , 123.238 	 9.4166666666667 , 123.23333333333
San Jose, Northern Samar 	 12.5311 , 124.487 	 12.531 , 124.487
San Jose, Nueva Ecija 	 15.7908 , 120.9925 	 15.783333333333 , 121.0
San Jose, Occidental Mindoro 	 12.4828 , 121.002 	 12.35275 , 121.06761
San Jose, Romblon 	 12.062 , 121.9573 	 12.066666666667 , 121.93333333333
San Jose, Tarlac 	 15.4 , 120.3333 	 15.4 , 120.33333333333
San Juan, Abra 	 17.6892 , 120.7167 	 17.6834 , 120.732
San Juan, Batangas 	 13.7567 , 121.4044 	 13.833333333333 , 121.4
San Juan Bautista, California 	 36.8442 , -121.5372 	 36.844166666667 , -121.53722222222
San Juan Bautista, Chile 	 -33.6389 , -78.8317 	 -33.63888889 , -78.83166667
San Juan, Ilocos Sur 	 17.7291 , 120.461 	 17.74222 , 120.45833
San Juan, La Union 	 16.6689 , 120.3411 	 16.666666666667 , 120.33333333333
San Juan, Metro Manila 	 14.5994 , 121.0369 	 14.6 , 121.03333333333
San Juan, Puerto Rico 	 18.4517 , -66.0689 	 18.45 , -66.066666666667
San Juan, Southern Leyte 	 10.2669 , 125.1756 	 10.266666666667 , 125.18333333333
San Juan, Texas 	 26.1922 , 98.1525 	 26.1925 , -98.1528
San Juan, Trinidad and Tobago 	 10.65 , -61.45 	 10.65 , -61.45
San Leonardo, Nueva Ecija 	 15.3597 , 120.9614 	 15.366666666667 , 120.96666666667
San Lorenzo, Boaco 	 12.3778 , -85.6674 	 12.36666667 , -85.66666667
San Lorenzo, California 	 37.6753 , -122.1339 	 37.681111111111 , -122.12444444444
San Lucas, California 	 36.1289 , -121.0206 	 36.1289 , -121.021
San Luis, Arizona 	 32.4936 , -114.7736 	 32.496111111111 , -114.76833333333
San Luis, Aurora 	 15.7214 , 121.5206 	 15.716666666667 , 121.51666666667
San Luis, Colorado 	 37.2019 , -105.4222 	 37.20085 , -105.4239
San Luis, Pampanga 	 15.04 , 120.7922 	 15.04 , 120.79194444444
San Manuel, Arizona 	 32.605 , 110.6333 	 32.605 , -110.633
San Manuel, Pangasinan 	 16.0656 , 120.6667 	 16.065556 , 120.666667
San Manuel, Tarlac 	 15.7992 , 120.6086 	 15.833333333333 , 120.58333333333
San Marcos, California 	 33.1419 , -117.1703 	 33.141944444444 , -117.17027777778
San Marcos, Carazo 	 11.9167 , -86.2 	 11.916666666667 , -86.2
San Marcos, Costa Rica 	 9.6667 , -84.0333 	 9.6666666666667 , -84.033333333333
San Marcos, El Salvador 	 13.6563 , -89.1803 	 13.656388888889 , -89.180277777778
San Marcos, Jalisco 	 20.7833 , -104.1833 	 20.783333333333 , -104.18333333333
San Mariano, Isabela 	 16.99 , 122.0433 	 16.983333333333 , 122.01666666667
San Martin, California 	 37.0878 , -121.6 	 37.0878 , -121.6
San Mateo, California 	 37.5542 , -122.3131 	 37.554166666667 , -122.31305555556
San Mateo, Rizal 	 14.6982 , 121.1239 	 14.696944 , 121.121944
San Miguel, Buenos Aires 	 -34.5239 , -58.7667 	 -34.533333333333 , -58.716666666667
San Miguel, Bulacan 	 15.1361 , 120.9761 	 15.145833 , 120.978333
San Miguel, Catanduanes 	 13.6411 , 124.3008 	 13.633333333333 , 124.3
San Miguel, El Salvador 	 13.4814 , -88.1775 	 13.483333333333 , -88.183333333333
San Miguel, San Luis Obispo County, California 	 35.7514 , -120.6953 	 35.751388888889 , -120.69527777778
San Nicolas, Ilocos Norte 	 18.1725 , 120.5958 	 18.1725 , 120.5953
San Nicolas, Pangasinan 	 16.07 , 120.7653 	 16.07 , 120.765278
San Pablo, California 	 37.9622 , -122.3456 	 37.962222222222 , -122.34555555556
San Pablo, Laguna 	 14.0704 , 121.325 	 14.066666666667 , 121.31666666667
San Patricio, Texas 	 27.9592 , -97.7731 	 27.9592 , -97.7731
San Pedro, Buenos Aires 	 -33.6791 , -59.6666 	 -33.679444444444 , -59.666944444444
San Pedro, Laguna 	 14.3647 , 121.0556 	 14.358333333333 , 121.05833333333
San Pedro, Los Angeles 	 33.7343 , -118.2876 	 33.74 , -118.29
San Rafael, Bulacan 	 14.948 , 120.962 	 14.95 , 120.96666666667
San Rafael, California 	 37.9736 , -122.5311 	 37.973611111111 , -122.53111111111
San Rafael, Iloilo 	 11.1728 , 122.8267 	 11.166666666667 , 122.83333333333
San Rafael, Lempira 	 14.7333 , -88.4167 	 14.73333333 , -88.41666667
San Rafael, Veracruz 	 20.1889 , -96.8658 	 20.1889 , -96.8658
San Ramon, California 	 37.7572 , -121.9522 	 37.78 , -121.97805555556
San Remo, Victoria 	 38.5167 , 145.3667 	 -38.51666667 , 145.36666667
San Roque, Northern Samar 	 12.533 , 124.867 	 12.533 , 124.867
San Salvador 	 13.7083 , -89.2031 	 13.69 , -89.19
San Simon, Pampanga 	 14.9931 , 120.7767 	 14.993055555556 , 120.77694444444
Santa Ana, Cagayan 	 18.4678 , 122.1436 	 18.466666666667 , 122.15
Santa Ana, California 	 33.7408 , -117.8814 	 33.740833333333 , -117.88138888889
Santa Ana, Costa Rica 	 9.9333 , -84.1833 	 9.9333333333333 , -84.183333333333
Santa Ana, El Salvador 	 13.9967 , -89.5523 	 13.983333333333 , -89.533333333333
Santa Ana, Manila 	 14.58 , 121.012 	 14.58 , 121.012
Santa Ana, Sonora 	 30.5406 , -111.1205 	 30.5406 , -111.1205
Santa Barbara, California 	 34.4258 , -119.7142 	 34.425833333333 , -119.71416666667
Santa Barbara, Iloilo 	 10.8231 , 122.5344 	 10.82306 , 122.53444
Santa Catalina, Ilocos Sur 	 17.555 , 120.3703 	 17.583333333333 , 120.35833333333
Santa Catalina, Negros Oriental 	 9.3333 , 122.8667 	 9.333056 , 122.865833
Santa Clara, California 	 37.3544 , -121.9692 	 37.35 , -121.96666666667
Santa Clara, Chiriquí 	 8.8333 , -82.7583 	 8.83333333 , -82.75833333
Santa Clara, Cuba 	 22.4067 , -79.9667 	 22.406666666667 , -79.953055555556
Santa Clara, Eugene, Oregon 	 44.1 , -123.12 	 44.1 , -123.12
Santa Clara, San Vicente 	 13.7021 , -88.728 	 13.7 , -88.733333333333
Santa Clara, Utah 	 37.1369 , -113.6492 	 37.136944444444 , -113.64916666667
Santa Cruz, Chile 	 -34.6372 , -71.3631 	 -34.633333333333 , -71.366666666667
Santa Cruz, Davao del Sur 	 6.837 , 125.413 	 6.8333333333333 , 125.41666666667
Santa Cruz, Laguna 	 14.2808 , 121.4154 	 14.283333333333 , 121.41666666667
Santa Cruz, New Mexico 	 35.9936 , 106.0419 	 35.9936 , -106.042
Santa Cruz, Rio de Janeiro 	 -22.9203 , -43.685 	 -22.92027778 , -43.685
Santa Cruz, Zambales 	 15.767 , 119.909 	 15.766666666667 , 119.91666666667
Santa Fe, Mexico City 	 19.3676 , -99.2593 	 19.35738889 , -99.26525
Santa Fe, New Mexico 	 35.6839 , -105.9478 	 35.666666666667 , -105.96666666667
Santa Fe, Romblon 	 12.156 , 121.996 	 12.15 , 122.0
Santa Fe, Texas 	 29.3806 , -95.1042 	 29.3806 , -95.1042
Santa Fe, Veraguas 	 8.5111 , -81.0778 	 8.5102 , -81.0777
Santa Isabel, Puerto Rico 	 17.9661 , -66.4049 	 17.966111 , -66.405
Santa Margarita, California 	 35.3894 , -120.6081 	 35.389444444444 , -120.60805555556
Santa Maria, Bulacan 	 14.8208 , 120.9636 	 14.818333333333 , 120.95633333333
Santa Maria, California 	 34.9514 , -120.4333 	 34.951388888889 , -120.43333333333
Santa Maria, Ilocos Sur 	 17.3585 , 120.4981 	 17.366666666667 , 120.48333333333
Santa Maria, Romblon 	 12.4417 , 122.1042 	 12.441667 , 122.104167
Santa Monica, California 	 34.0219 , -118.4814 	 34.021944444444 , -118.48138888889
Santander, Cebu 	 9.45 , 123.3333 	 9.45 , 123.33333333333
Santa Paula, California 	 34.3558 , -119.0683 	 34.355833333333 , -119.06833333333
Santa Rita, Guam 	 13.4284 , 144.6474 	 13.386111111111 , 144.66888888889
Santa Rita, New Mexico 	 32.8036 , -108.0608 	 32.8036 , -108.061
Santa Rita, Pampanga 	 14.9953 , 120.6153 	 14.995278 , 120.615278
Santa Rita, Samar 	 11.4497 , 124.9428 	 11.466666666667 , 124.95
Santa Rosa, California 	 38.4486 , -122.7047 	 38.448611111111 , -122.70472222222
Santa Rosa, Laguna 	 14.2963 , 121.1055 	 14.316666666667 , 121.11666666667
Santa Rosa, New Mexico 	 34.9422 , -104.6839 	 34.9422 , -104.684
Santa Rosa, Nueva Ecija 	 15.4239 , 120.9389 	 15.423888888889 , 120.93888888889
Santa Teresa, Rio de Janeiro 	 -22.9177 , -43.1881 	 -22.917528 , -43.188243
Santa Teresita, Buenos Aires 	 -36.5413 , -56.7011 	 -36.54361111 , -56.69722222
Santee, California 	 32.8482 , -116.9882 	 32.869722222222 , -116.97111111111
Santee, South Carolina 	 33.4833 , -80.4833 	 33.47516 , -80.48648
Santiago 	 -33.4379 , -70.6505 	 -33.45 , -70.666666666667
Santiago, Agusan del Norte 	 9.266 , 125.559 	 9.2654 , 125.5602
Santiago, Ilocos Sur 	 17.272 , 120.4486 	 17.3 , 120.45
Santiago, Rio Grande do Sul 	 -29.1919 , -54.8669 	 -29.191944444444 , -54.866944444444
Santo Domingo 	 18.49 , -69.8833 	 18.476388888889 , -69.893333333333
Santo Domingo, Ilocos Sur 	 17.6401 , 120.3964 	 17.633333333333 , 120.40833333333
Santo Domingo, Nueva Ecija 	 15.5847 , 120.8775 	 15.583333333333 , 120.86666666667
Santo Domingo, San Vicente 	 13.6333 , -88.8 	 13.63333333 , -88.8
Santos, São Paulo 	 -23.9608 , -46.3339 	 -23.960833333333 , -46.333888888889
Santo Tomas, Batangas 	 14.0833 , 121.182 	 14.083333333333 , 121.18333333333
Santo Tomas, La Union 	 16.2789 , 120.3889 	 16.283333333333 , 120.38333333333
Santo Tomas, Pampanga 	 14.9665 , 120.7199 	 14.966666666667 , 120.71666666667
Santo Tomas, Pangasinan 	 15.7119 , 120.5847 	 15.711944 , 120.584722
San Vicente, Antioquia 	 6.2819 , -75.3322 	 6.2819444444444 , -75.332222222222
San Vicente, Ilocos Sur 	 17.5969 , 120.3736 	 17.591666666667 , 120.375
San Vicente, Northern Samar 	 12.35 , 124.05 	 12.35 , 124.05
San Vicente, Palawan 	 10.5349 , 119.281 	 10.55 , 119.26667
Sanya 	 18.2533 , 109.5036 	 18.24306 , 109.505
Sanyi, Miaoli 	 24.4167 , 120.7667 	 24.416666666667 , 120.76666666667
Saran, Kazakhstan 	 49.7833 , 72.85 	 49.783333333333 , 72.85
Saray, Tekirdağ 	 41.4411 , 27.9216 	 41.442777777778 , 27.920555555556
Sare 	 43.3136 , -1.5792 	 43.312777777778 , -1.5802777777778
Sari, Iran 	 36.5633 , 53.06 	 36.565833333333 , 53.059722222222
Savannah, Georgia 	 32.0811 , -81.0911 	 32.050833333333 , -81.103888888889
Savannah, Missouri 	 39.9411 , -94.8308 	 39.9411 , -94.8308
Savannah, New York 	 43.075 , -76.76 	 43.06729 , -76.75968
Savannah, North Carolina 	 35.3192 , -83.2628 	 35.3192 , -83.2628
Savannah, Tennessee 	 35.2237 , -88.237 	 35.223611111111 , -88.236944444444
Scarborough, New South Wales 	 -34.2706 , 150.9603 	 -34.2706 , 150.96
Scarborough, North Yorkshire 	 54.2825 , -0.4072 	 54.283333333333 , -0.4
Scarborough, Queensland 	 -27.2047 , 153.1102 	 -27.2047 , 153.11
Scarborough, Tobago 	 11.1896 , -60.7389 	 11.183333333333 , -60.733333333333
Scarborough, Toronto 	 43.7737 , -79.2446 	 43.7737 , -79.2446
Scarborough, Western Australia 	 31.8942 , 115.7642 	 -31.8942 , 115.764
Scranton, Iowa 	 42.0222 , -94.546 	 42.022222222222 , -94.546111111111
Scranton, Pennsylvania 	 41.4106 , -75.6675 	 41.408969 , -75.6624122
Scranton, Utah 	 40.0489 , -112.2008 	 40.048888888889 , -112.20083333333
Seaforth, Merseyside 	 53.4678 , -3.0111 	 53.4678 , -3.0111
Seaforth, New South Wales 	 -33.796 , 151.238 	 -33.796 , 151.238
Seaforth, Ontario 	 43.5546 , -81.3968 	 43.554644 , -81.396847
Seaside, California 	 36.6158 , -121.8339 	 36.611111111111 , -121.84472222222
Seaside, Florida 	 30.3201 , -86.1377 	 30.320119444444 , -86.137705555556
Seaside, Oregon 	 45.9928 , -123.9222 	 45.992777777778 , -123.92222222222
Seguin, Ontario 	 45.2882 , -79.8116 	 45.2882 , -79.8116
Seguin, Texas 	 29.5744 , -97.9653 	 29.574444444444 , -97.965277777778
Selma, Alabama 	 32.4164 , -87.0247 	 32.41 , -87.02
Selma, California 	 36.5708 , -119.6119 	 36.570833333333 , -119.61194444444
Selma, North Carolina 	 35.5369 , -78.2847 	 35.53655 , -78.28444
Selma, Switzerland 	 46.3207 , 9.1217 	 46.316388888889 , 9.1166666666667
Selma, Texas 	 29.5872 , -98.3158 	 29.5872 , -98.3158
Selva, Santa Fiora 	 42.7944 , 11.5983 	 42.794444444444 , 11.598333333333
Sena, Yemen 	 17.8167 , 51.0667 	 17.81666667 , 51.06666667
Serik 	 36.9167 , 31.1 	 36.916666666667 , 31.1
Shahabad, Gulbarga 	 17.13 , 76.93 	 17.13 , 76.93
Shahpur, Burhanpur 	 21.23 , 76.22 	 21.23 , 76.22
Shakhty 	 47.7083 , 40.2167 	 47.7 , 40.233333333333
Shali, Chechen Republic 	 43.1533 , 45.9039 	 43.15 , 45.9
Shamsabad, Farrukhabad 	 27.5364 , 79.4394 	 27.536358333333 , 79.439391666667
Shangzhi 	 45.2167 , 127.967 	 45.21156 , 127.96196
Shantou 	 23.3667 , 116.7 	 23.373472 , 116.694111
Shanxi 	 37.7 , 112.4 	 37.873333333333 , 112.56444444444
Sharon, Connecticut 	 41.8606 , -73.4486 	 41.87926 , -73.47679
Sharon, Massachusetts 	 42.1128 , -71.1839 	 42.12371 , -71.17866
Sharon, New Hampshire 	 42.8131 , -71.9156 	 42.81314 , -71.91563
Sharon, New York 	 42.7703 , -74.6022 	 42.761111111111 , -74.5325
Sharon, Ontario 	 44.1061 , -79.4344 	 44.1061 , -79.4344
Sharon, Pennsylvania 	 41.2333 , -80.5 	 41.2333 , -80.5
Sharon, South Carolina 	 34.9517 , -81.3394 	 34.95097 , -81.34092
Sharon, Vermont 	 43.7736 , -72.4439 	 43.773611111111 , -72.443888888889
Sharon, West Virginia 	 38.1594 , -81.4469 	 38.1594 , -81.4469
Shelton, Connecticut 	 41.3042 , -73.1381 	 41.304166666667 , -73.138055555556
Shelton, Nebraska 	 40.7772 , 98.7331 	 40.7775 , -98.7333
Shelton, Shropshire 	 52.7144 , -2.7869 	 52.7144 , -2.78694
Shelton, Staffordshire 	 53.0043 , -2.1026 	 53.0043 , -2.1026
Shelton, Washington 	 47.2136 , -123.1061 	 47.213611111111 , -123.10611111111
Shendi 	 16.6914 , 33.4339 	 16.691388888889 , 33.433888888889
Shijing, Fujian 	 24.6275 , 118.4356 	 24.61956 , 118.42437
Shiling, Guangzhou 	 23.4639 , 113.1494 	 23.45639 , 113.15193
Shiyan 	 32.6167 , 110.7667 	 32.6475 , 110.77806
Shrewsbury, Louisiana 	 29.9711 , -90.1422 	 29.971111111111 , -90.142222222222
Shrewsbury, Massachusetts 	 42.2958 , -71.7133 	 42.29593 , -71.71285
Shrewsbury, Missouri 	 38.5878 , -90.3269 	 38.5878 , -90.3269
Shrewsbury, New Jersey 	 40.3261 , -74.0597 	 40.3261 , -74.0597
Shrewsbury, Pennsylvania 	 39.7672 , -76.6789 	 39.7672 , -76.6789
Shrewsbury, Vermont 	 43.5258 , -72.855 	 43.525833333333 , -72.855
Shuitou, Fujian 	 24.7075 , 118.4353 	 24.70839 , 118.4271
Shuri, Okinawa 	 26.217 , 127.7194 	 26.217005555556 , 127.71942222222
Sibu 	 2.2878 , 111.8308 	 2.3 , 111.81666666667
Sidney, British Columbia 	 48.6489 , -123.4003 	 48.6506 , -123.399
Sidney, Montana 	 47.7125 , -104.1614 	 47.7125 , -104.16138888889
Sidney, Nebraska 	 41.1394 , -102.9783 	 41.1394 , -102.978
Sidney, New York 	 42.3078 , -75.3962 	 42.3 , -75.283333333333
Sidney, Ohio 	 40.2897 , -84.161 	 40.289722222222 , -84.161111111111
Sihai, Manipur 	 25.1667 , 94.4972 	 25.16916667 , 94.48694444
Silian, Ceredigion 	 52.1333 , -4.0833 	 52.1333 , -4.08333
Sini, Jharkhand 	 22.8 , 85.97 	 22.8 , 85.97
Sinnar 	 19.85 , 74 	 19.85 , 74.0
Sion, Mumbai 	 19.04 , 72.86 	 19.04 , 72.86
Sion, Switzerland 	 46.2278 , 7.3586 	 46.23045 , 7.36606
Siping, Jilin 	 43.1667 , 124.3667 	 43.16143 , 124.37785
Sirka, India 	 23.6436 , 85.435 	 23.74 , 85.59
Smithfield, Free State 	 -30.2125 , 26.5314 	 -30.2125 , 26.531388888889
Smithfield, London 	 51.519 , -0.102 	 51.518686111111 , -0.10342222222222
Smithfield, New South Wales 	 -33.8529 , 150.9321 	 -33.8529 , 150.932
Smithfield, North Carolina 	 35.5092 , -78.3464 	 35.509166666667 , -78.346388888889
Smithfield, Rhode Island 	 41.8864 , -71.5364 	 41.92204 , -71.54951
Smithfield, South Australia 	 -34.6858 , 138.6869 	 -34.6858 , 138.687
Smithfield, Toronto 	 43.7397 , -79.5803 	 43.739 , -79.595
Smithfield, Utah 	 41.8353 , -111.8283 	 41.835277777778 , -111.82833333333
Smithfield, Virginia 	 36.9789 , -76.6186 	 36.9789 , -76.6186
Socorro, New Mexico 	 34.0636 , -106.8994 	 34.061666666667 , -106.89944444444
Socorro, Santander 	 6.4678 , -73.2597 	 6.4677777777778 , -73.259722222222
Socorro, Texas 	 31.6414 , -106.2747 	 31.6414 , -106.275
Sodo 	 6.855 , 37.7808 	 6.86 , 37.76
Soho 	 51.513 , -0.135 	 51.513 , -0.131
Soho, West Midlands 	 52.503 , -1.9329 	 52.4991 , -1.9288
Solano, Nueva Vizcaya 	 16.524 , 121.192 	 16.523888888889 , 121.19194444444
Soledad, California 	 36.4331 , -121.3297 	 36.424722222222 , -121.32638888889
Solon, Maine 	 44.9406 , -69.8075 	 44.949444444444 , -69.858333333333
Solon, New York 	 42.5967 , -76.0233 	 42.596944444444 , -76.016944444444
Solon, Ohio 	 41.39 , -81.4422 	 41.39 , -81.4422
Somerset 	 51.0133 , -3.1061 	 51.3 , -3.0
